"household_questionnaire_id","time_to_irrigate_1_katha__p_1","district","year","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T306708132",60,1,2019,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,25,25,"Control",0
"T309303010",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303806078",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303807077",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302607006",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305104033",60,2,2019,NA,NA,NA,NA,NA,NA,18.75,NA,NA,NA,NA,18.75,18.75,"Control",0
"T302608032",60,2,2019,1,NA,NA,NA,NA,NA,40,NA,NA,1,NA,40,41,"Control",0
"T305102015",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300603032",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608026",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305007121",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303505004",120,3,2019,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,20,"Control",0
"T304804086",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301503071",60,1,2019,120,NA,NA,NA,NA,NA,144,NA,NA,120,NA,144,264,"Control",0
"T304808083",60,1,2019,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,96,96,"Control",0
"T300409001",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304705090",90,1,2019,NA,32,NA,NA,10,NA,NA,40,NA,32,10,40,82,"Control",0
"T300607023",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300601005",60,2,2019,5,NA,NA,NA,NA,NA,21,NA,NA,5,NA,21,26,"Control",0
"T307001095",1,1,2019,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,4,"Control",0
"T300401028",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305602001",60,2,2019,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,84,84,"Control",0
"T303603009",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302606024",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301502070",60,1,2019,260,208,104,10,20,30,16,8,2,572,60,26,658,"Control",0
"T302609007",60,2,2019,42,42,42,NA,NA,NA,NA,NA,NA,126,NA,NA,126,"Control",0
"T305404026",60,2,2019,90,90,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,180,"Control",0
"T302608033",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304706131",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302606012",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304707109",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304705128",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301808003",60,3,2019,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,100,"Control",0
"T305105014",60,2,2019,24,NA,NA,NA,NA,NA,56,NA,NA,24,NA,56,80,"Control",0
"T302501007",60,3,2019,32,NA,NA,NA,NA,NA,32,NA,NA,32,NA,32,64,"Control",0
"T302608007",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302602008",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305006119",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307103093",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303906006",NA,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304702127",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304706130",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302409104",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300509098",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300901112",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300902111",NA,1,2019,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,144,144,"Control",0
"T301001084",90,1,2019,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,20,"Control",0
"T301805004",60,3,2019,15,NA,NA,50,NA,NA,25,NA,NA,15,50,25,90,"Control",0
"T301503073",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305004118",45,1,2019,8,2.5,NA,36,14,NA,20,11,NA,10.5,50,31,91.5,"Control",0
"T304707129",90,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
